Location,Milk,Rent,Meal,Water
"Biloxi, MS",4.25,"1,250.00",15.00,1.50
"Binghamton, NY",3.10,"1,133.33",14.00,1.79
"Birch Run, MI",3.99,"1,000.00",0,0
"Birmingham, AL",4.30,"1,516.67",23.00,2.16
"Bismarck, ND",4.25,"1,000.00",42.50,1.77
"Blackfoot, ID",3.34,0,0,0
"Blacksburg, VA",3.75,"1,410.00",17.00,2.00
"Bloomfield Hills, MI",3.50,0,0,0
"Bloomfield, NJ",0,0,0,0
"Bloomington, IL",3.38,"1,100.00",15.00,2.00
"Bloomington, IN",3.00,0,18.00,1.56
"Blythewood, SC",2.72,0,12.00,0
"Boca Raton, FL",3.91,"2,625.00",20.00,1.82
"Boise, ID",3.27,"1,669.88",18.00,2.29
"Bolingbrook, IL",2.60,0,12.00,1.83
"Bonita Springs, FL",0,"2,500.00",0,0
"Bonney Lake, WA",4.50,0,12.00,0.69
"Boone, NC",4.03,"1,278.75",12.00,3.00
"Boston, MA",4.78,"3,065.00",25.00,2.46
"Bothell, WA",3.65,"2,100.00",16.00,1.25
"Boulder, CO",4.10,"1,857.14",21.00,2.17
"Bourbonnais, IL",2.72,750.00,15.00,1.83
"Bourne, MA",4.32,0,17.50,2.16
"Bowling Green, KY",2.19,0,10.00,1.59
"Bowling Green, OH",2.00,750.00,12.00,1.56
"Boynton Beach, FL",4.54,"2,133.33",21.75,2.33
"Bozeman, MT",3.65,"1,842.86",18.00,2.34
"Bradenton, FL",4.23,"1,650.00",22.50,2.33
"Bradford, PA",3.51,0,20.00,1.93
"Bradley, IL",2.00,0,0,0
"Brainerd, MN",3.89,0,14.00,1.89
"Branson, MO",4.11,900.00,22.50,1.00
"Brattleboro, VT",0,900.00,0,3.50
"Brea, CA",4.54,"2,125.00",20.00,2.48
"Breckenridge, CO",4.10,"2,450.00",20.00,3.00
"Bremerton, WA",3.72,"1,633.33",18.00,2.11
"Brentwood, CA",7.00,0,0,0
"Brentwood, TN",5.00,0,17.00,1.83
"Brevard, NC",7.85,"1,400.00",0,0
"Bridgeport, CT",3.62,"2,000.00",25.00,2.00
"Bridgeville, PA",4.19,0,0,0
"Bridgewater, NJ",0,"2,500.00",40.00,2.00
"Brigham City, UT",3.79,0,16.00,1.49
"Bristol, VA",3.89,924.25,50.00,2.00
"Bronx, NY",3.94,"1,891.67",21.00,1.00
"Brookhaven, NY",4.68,"2,580.00",17.00,1.79
Brookings,0,0,0,0
"Brookings, OR",3.49,"1,600.00",0,0
"Brooklyn, NY",5.04,"3,160.00",22.50,2.57
"Broomfield, CO",6.00,0,0,0
"Brownsville, TX",3.30,783.33,0,0
"Brownwood, TX",2.78,0,13.50,1.80
"Brunswick, GA",4.48,0,15.00,1.39
"Brunswick, ME",3.63,0,0,0
"Buckley, WA",2.96,"1,600.00",18.00,2.11
"Buffalo, NY",3.51,"1,514.00",20.00,1.53
"Buford, GA",3.38,"1,450.00",23.00,2.00
"Bullhead City, AZ",3.73,"1,250.00",25.00,2.25
"Burbank, CA",5.00,"3,200.00",18.95,2.99
"Burlington, IA",3.92,650.00,8.00,2.00
"Burlington, VT",4.29,"1,840.00",20.00,1.75
"Burnsville, NC",0,900.00,24.00,0.99
"Butte, MT",4.49,925.00,0,0
"Cabot, AR",4.09,0,12.00,0
"California, MD",0,"1,813.00",8.00,4.00
"Camarillo, CA",0,"2,200.00",45.00,1.49
"Cambridge, MA",4.78,"3,150.00",25.00,2.57
"Cambridge, OH",3.00,0,0,0
"Camden, NJ",4.84,"1,745.00",20.00,1.62
"Campbellsville, KY",3.00,650.00,13.50,1.00
"Canon City, CO",0,0,0,0
"Canton, OH",2.96,400.00,15.00,1.56
"Canyon Lake, CA",5.00,0,0,0
"Cape Canaveral, FL",3.52,"1,500.00",13.00,1.00
"Cape Carteret, NC",2.30,0,0,0
"Cape Coral, FL",4.12,"1,887.50",17.50,1.98
"Cape Girardeau, MO",2.79,625.00,18.50,2.35
"Carbondale, IL",3.00,650.00,15.50,1.87
"Carlisle, PA",0,0,0,0
"Carlsbad, CA",4.83,"2,700.00",15.00,2.00
"Carlsbad, NM",3.29,0,13.00,2.55
"Carmel, IN",2.95,"1,490.00",25.00,1.77
"Carson City, NV",4.75,"1,683.33",15.00,1.50
"Cartersville, GA",3.75,"2,150.00",15.00,2.50
"Cary, NC",3.95,"1,342.00",15.00,2.42
"Casper, WY",3.63,809.00,14.50,2.48
"Castle Rock, CO",4.23,"1,700.00",15.00,2.50
"Castro Valley, CA",4.00,"2,500.00",15.00,1.00
"Cedar City, UT",0,0,0,0
"Cedar Rapids, IA",3.24,"1,050.00",15.00,1.30
"Cedarhurst, NY",0,"1,800.00",0,0
"Cedartown, GA",3.82,0,0,0
"Central Valley, NY",0,0,0,0
"Centreville, VA",4.60,"2,750.00",20.00,2.04
"Cerritos, CA",4.54,"2,000.00",22.00,2.48
"Champaign, IL",3.45,833.33,16.00,1.00
"Chandler, AZ",3.94,"1,681.25",20.00,1.57
"Chapel Hill, NC",3.45,"1,325.00",15.00,2.00
"Charles Town, WV",0,900.00,45.00,2.00
"Charleston, SC",3.71,"2,300.00",25.00,2.00
"Charleston, WV",3.06,900.00,13.00,1.59
"Charlotte, NC",3.96,"2,016.67",18.00,1.99
"Charlottesville, VA",4.13,"2,250.00",12.50,1.75
"Chattanooga, TN",4.08,"1,266.67",16.50,1.92
"Chelan, WA",3.99,"1,000.00",15.00,2.92
"Cherry Hill, NJ",4.84,"1,800.00",22.50,2.27
"Chesapeake, VA",3.18,"1,775.00",9.50,1.25
"Chester, CA",5.00,800.00,15.00,1.50
"Chesterfield, MI",3.25,0,18.00,2.50
"Chesterfield, MO",3.65,"1,750.00",25.00,1.25
"Chevy Chase, MD",3.47,0,17.00,2.04
"Cheyenne, WY",3.67,"1,075.00",18.00,1.00
"Chicago, IL",4.26,"2,359.38",20.00,2.34
"Chico, CA",5.10,"1,500.00",25.00,2.22
"Christiansburg, VA",3.47,0,20.00,2.04
"Chula Vista, CA",4.67,"2,500.00",22.00,2.00
"Cincinnati, OH",3.06,"1,350.00",12.75,1.59
"Claremont, NH",3.00,"1,250.00",30.50,2.00
"Clarinda, IA",3.00,0,9.00,2.00
"Clarksville, TN",3.77,900.00,15.50,1.87
"Clayton, NC",1.80,0,10.00,0
"Clearwater, FL",4.48,"2,333.33",16.50,1.74
"Clemson, SC",3.13,975.00,25.00,0
"Cleveland, MS",0,0,21.00,0
"Cleveland, OH",3.33,"1,237.50",15.50,1.78
"Cleveland, TN",4.63,"1,625.00",18.50,0
"Clewiston, FL",6.00,0,25.00,0
"Clifton, NJ",4.73,0,17.50,2.16
"Clovis,  NM",0,0,0,0
"Cobleskill, NY",0,800.00,0,0
"Coeur d'Alene, ID",3.82,"1,700.00",20.00,2.22
"College Park, MD",4.19,"1,909.00",20.00,1.62
"College Station, TX",3.25,"1,250.00",11.50,1.66
"Colorado Springs, CO",4.10,"1,500.00",20.00,3.88
"Colton, CA",4.50,"1,918.50",15.00,2.00
"Columbia, MD",4.13,"1,400.00",20.00,1.62
"Columbia, MO",3.72,850.00,14.00,1.50
"Columbia, SC",3.76,"1,466.67",15.00,1.46
"Columbia, TN",3.53,"1,366.67",12.00,1.50
"Columbus, GA",4.13,"1,250.00",18.00,2.16
"Columbus, IN",3.19,"1,200.00",19.00,1.56
"Columbus, OH",3.45,"1,585.00",18.00,2.05
"Concord, CA",5.55,"2,350.00",20.00,1.62
"Concord, NC",0,"1,500.00",0,0
"Concord, NH",3.88,"1,533.33",19.00,2.00
"Congers, NY",5.04,"1,800.00",22.50,2.57
"Connersville, IN",4.00,0,25.00,2.00
"Conroe, TX",3.98,"1,200.00",0,0
"Conway, AR",3.72,0,12.00,1.73
"Conway, SC",0,"1,000.00",20.00,0
"Cookeville, TN",2.16,"1,800.00",20.00,1.75
"Coos Bay, OR",4.10,"1,300.00",20.00,2.23
"Coppell, TX",2.89,0,22.00,1.89
"Coral Gables, FL",4.50,"2,995.00",15.00,3.00
"Coral Springs, FL",4.66,0,25.00,1.82
"Corbin, KY",2.83,0,13.00,1.19
"Corning, NY",2.84,0,15.00,1.89
"Corona, CA",3.75,"1,350.00",18.00,2.00
"Corpus Christi, TX",3.35,"1,332.16",12.00,2.00
"Corvallis, OR",5.90,"1,185.00",16.00,2.00
"Costa Mesa, CA",4.54,"2,665.33",17.50,2.82
"Cranford, NJ",0,0,0,0
"Crawfordsville, IN",3.47,800.00,15.00,1.99
"Cresskill, NJ",0,0,18.00,3.00
"Crestview, FL",4.07,"1,100.00",19.00,1.81
"Crown Point, IN",3.50,0,0,0
"Crystal Lake, IL",2.72,"1,597.50",15.00,1.83
"Cumberland, MD",4.00,650.00,7.00,1.25
"Cumberland, RI",2.79,"1,200.00",0,0
"Cumming, GA",3.63,"1,400.00",15.00,2.00
"Cupertino, CA",6.00,"2,500.00",30.00,2.00
"Cutler Bay, FL",4.38,0,25.00,1.82
"Dallas, TX",3.50,"1,776.23",20.00,1.93
"Dalton, GA",5.41,980.00,22.00,0.95
"Danbury, CT",3.00,"1,390.00",17.17,2.00
"Danville, CA",5.00,"3,150.00",30.00,3.00
"Danville, VA",3.40,750.00,35.00,2.00
"Davenport , FL",0,0,0,0
"Davenport, IA",3.29,"1,350.00",15.50,1.57
"Davis, CA",4.54,"1,933.33",13.00,1.49
"Dayton, NV",5.11,"1,000.00",18.00,1.50
"Dayton, OH",2.16,"1,125.00",19.00,1.56
"Daytona Beach, FL",3.78,"1,603.00",19.00,1.40
"DeLand, FL",3.20,0,28.00,3.00
"Dearborn, MI",2.99,899.00,0,0
"Decatur, AL",2.00,"1,000.00",15.00,1.00
"Decatur, IL",4.26,875.00,20.00,2.00
"Deerfield Beach, FL",4.72,"1,633.33",21.00,1.82
"Defiance, OH",2.66,690.00,12.00,1.50
"Delray Beach, FL",4.22,"2,733.33",16.49,1.82
"Deltona, FL",4.17,0,20.00,2.08
"Denton, TX",3.06,"1,350.00",13.50,1.90
"Denver, CO",4.32,"2,140.84",20.00,2.24
"Des Moines, IA",3.92,"1,215.00",16.00,2.06
"Des Plaines, IL",2.83,"1,700.00",15.00,1.83
"Destin, Fl",4.00,0,20.00,2.50
"Detroit, MI",3.53,"1,414.29",15.50,1.88
"Dickinson, ND",3.20,0,0,0
"Dodge City, KS",4.00,0,0,0
"Dothan, AL",3.92,750.00,16.50,1.76
"Dover, DE",2.91,0,35.00,2.50
"Dover, NH",15.10,"1,833.33",37.50,0
"Downey, CA",4.35,"1,625.00",30.00,0
"Downingtown, PA",0,"2,200.00",12.00,1.00
"Doylestown, PA",3.83,"1,900.00",20.00,1.62
"Driggs, ID",0,"1,500.00",15.00,1.99
"Dublin, OH",2.00,"1,400.00",12.00,2.00
"Dubuque, IA",3.01,850.00,30.00,0
"Duluth, GA",2.67,"1,800.00",15.00,2.00
"Duluth, MN",3.59,"1,166.67",20.00,2.03
"Durango, CO",4.13,"1,800.00",15.50,1.67
"Durant, OK",4.24,0,20.00,1.80
"Durham, NC",2.59,"1,875.00",13.50,1.25
Eagan,0,0,0,0
"East Chicago, IN",2.00,0,0,0
"East Hampton, NY",4.83,0,35.00,2.75
"East Lansing, MI",3.53,"1,133.33",15.50,1.83
"East Northport, NY",4.40,0,17.00,1.79
"East Providence, RI",4.32,"1,500.00",17.50,2.12
"East Rutherford, NJ",4.06,"1,100.00",17.00,2.00
"Easthampton, MA",4.99,"1,200.00",25.00,1.89
"Easton, MD",3.94,0,20.00,1.62
"Eastsound, WA",5.25,"2,500.00",0,0
"Eau Claire, WI",2.57,900.00,15.00,1.00
"Eden Prairie, MN",3.13,"1,400.00",48.00,2.00
"Edison, NJ",4.32,"2,133.33",17.50,1.00
"Edmond, OK",3.50,850.00,20.00,1.25
"Edwardsville, IL",3.00,0,20.00,0
"El Cajon, CA",4.43,"2,400.00",19.50,3.00
"El Centro, CA",0,0,12.00,2.00
"El Cerrito, CA",5.99,"2,000.00",20.00,2.00
"El Dorado, AR",4.00,0,0,0
"El Paso, TX",3.29,968.33,13.00,2.55
"Eldon, MO",3.45,"1,200.00",20.00,1.77
"Elgin, IL",2.67,0,0,0
"Eliot, ME",4.25,"1,700.00",18.00,1.50
"Elizabeth, NJ",4.80,"2,000.00",20.00,1.50
"Elizabethtown, KY",2.93,"1,050.00",12.00,2.12
"Elkhart, IN",3.24,800.00,10.00,1.99
"Elkhorn, WI",2.78,"1,000.00",15.00,1.50
"Elko, NV",0,0,0,0
"Ellensburg, WA",4.19,0,25.87,0
"Ellsworth, ME",5.00,0,18.18,2.87
"Elmira, NY",3.00,"1,300.00",8.50,1.50
"Emporia, KS",5.27,0,8.99,1.00
"Encinitas, CA",0,"2,500.00",15.00,0
"Enterprise, Al",3.84,550.00,30.00,1.89
"Erie, PA",3.78,666.67,24.00,1.89
"Escondido, CA",4.00,"2,500.00",25.00,2.00
"Eugene, OR",4.10,"1,621.82",20.00,2.23
"Eureka, CA",4.75,"1,300.00",15.00,2.08
"Evans, GA",3.50,0,0,0
"Evanston, IL",5.00,"1,519.00",0,0
"Evansville, IN",2.97,783.33,25.00,1.50
"Everett, WA",3.64,"1,732.00",18.00,2.11
"Fairbanks, AK",4.25,"1,650.00",25.00,2.00
"Fairborn, OH",3.19,700.00,19.00,1.56
"Fairfax, VA",4.19,"1,983.33",25.00,2.17
"Fairfield, CA",4.87,"2,600.00",20.00,2.08
"Fairfield, CT",0,"3,000.00",0,3.00
"Fairmont, WV",3.25,"1,000.00",18.00,2.05
"Fall River, MA",3.99,0,0,0
"Fargo, ND",4.43,968.75,15.00,1.83
"Farmington Hills, MI",2.99,"1,200.00",18.00,2.00
"Farmington, CT",3.74,0,0,0
"Farmington, MO",3.72,0,12.00,1.73
"Farmington, NM",0,0,0,0
"Fayetteville, AR",3.70,925.00,15.00,1.50
"Fayetteville, NC",3.76,"1,500.00",14.00,1.46
"Federal Way, WA",3.45,0,30.00,0
"Fishkill, NY",2.92,0,0,0
"Flagstaff, AZ",3.53,"1,533.33",22.00,1.81
"Flanders, NJ",3.79,"1,600.00",17.50,2.16
"Flemington, NJ",3.00,"1,100.00",20.00,2.00
"Flint, MI",2.72,0,15.00,1.83
"Florence, AL",3.77,650.00,13.50,1.75
"Florence, KY",3.35,"1,300.00",0,1.06
"Florence, SC",3.77,766.00,17.50,1.75
"Fond du Lac, WI",4.26,"1,200.00",5.50,2.34
"Fontana, CA",4.33,0,10.00,2.48
"Forsyth, GA",3.44,0,0,0
"Fort Atkinson, WI",3.00,900.00,20.00,2.34
"Fort Collins, CO",3.74,"1,840.00",20.00,3.42
"Fort Lauderdale, FL",4.23,"2,309.33",21.00,2.12
"Fort Lee, NJ",6.00,"1,633.33",25.00,1.50
"Fort Myers, FL",4.42,"1,866.67",20.00,2.08
"Fort Pierce, FL",2.93,"1,233.33",25.00,1.75
"Fort Scott, KS",4.49,0,20.00,1.80
"Fort Smith, AR",4.50,525.00,30.00,1.55
"Fort Walton Beach, FL",4.67,"1,300.00",13.50,2.33
"Fort Wayne, IN",2.86,"1,233.33",18.00,2.05
"Fort Worth, TX",3.84,"1,565.00",16.00,1.69
"Foster City, CA",4.00,"3,000.00",15.00,5.00
"Fowlerville, MI",2.72,950.00,10.00,1.83
"Framingham, MA",0,"1,700.00",40.00,2.19
"Frankfort, KY",2.75,650.00,12.00,0
"Franklin, TN",3.00,"1,250.00",20.00,2.04
"Frederick, MD",4.50,"1,500.00",18.00,1.92
"Fredericksburg, VA",4.13,"1,700.00",17.50,2.14
"Fremont, CA",5.12,"2,366.67",16.00,2.08
"Fresno, CA",3.90,"1,325.00",18.00,1.79
"Frisco, TX",4.26,"1,633.33",15.00,2.13
"Fullerton, CA",5.99,"2,400.00",20.50,1.50
"Fulshear, TX",0,0,20.00,0
"Gadsden, AL",4.20,"1,000.00",18.50,2.35
"Gainesville, FL",5.26,"1,468.75",16.50,2.15
"Gainesville, GA",3.76,0,12.50,1.82
"Gaithersburg, MD",3.39,"1,800.00",20.00,0
"Galesburg, IL",3.45,500.00,10.00,1.50
"Gallup, NM",6.00,"1,000.00",0,4.00
"Galveston, TX",3.75,"1,466.67",12.00,1.75
"Garberville, CA",6.25,"1,450.00",0,0
"Garden Grove, CA",4.54,0,20.00,2.48
"Garland, TX",3.59,0,16.00,1.70
"Gary, IN",0,"1,039.00",10.00,1.15
"Gastonia, NC",2.60,"1,200.00",30.00,3.00
"Geneva, IL",2.72,0,15.00,1.83
"Georgetown, KY",3.99,0,15.00,0
"Germantown, MD",4.84,"2,050.00",20.00,1.62
"Gig Harbor, WA",4.27,"1,800.00",15.00,2.11
"Gilbert, AZ",3.94,"1,900.00",22.00,1.81
"Gillette, WY",3.68,0,0,0
"Glendale, AZ",3.86,"1,300.00",12.00,0
"Glendale, CA",4.74,"3,350.00",22.00,1.99
"Gloucester, MA",4.19,"1,200.00",25.00,2.23
"Goldsboro, NC",2.83,"1,350.00",13.00,1.00
"Gonzales, LA",3.64,0,16.50,1.94
"Goose Creek, SC",3.42,0,20.00,2.00
"Granbury, TX",2.76,"1,381.00",15.50,2.00
"Grand Forks, ND",4.24,"1,000.00",21.50,3.00
"Grand Junction, CO",3.97,"1,150.00",15.00,2.16
"Grand Rapids, MI",3.25,"1,983.33",18.00,2.34
"Grandview, WA",4.27,"1,400.00",15.00,2.92
"Grants Pass, OR",4.29,"1,000.00",15.00,1.00
"Grapevine, TX",3.25,"1,350.00",11.50,1.49
"Grass Valley, CA",4.75,"1,800.00",20.00,1.99
"Great Falls, MT",3.30,"1,700.00",8.00,0
"Greeley, CO",3.51,"1,117.00",12.99,1.59
"Green Bay, WI",3.55,"1,150.00",13.00,1.50
"Green Valley, AZ",3.40,0,0,0
"Greenfield, IN",3.05,0,0,0
"Greenfield, OH",2.99,"1,000.00",15.00,1.00
"Greensboro, NC",3.77,"1,512.50",15.00,1.46
"Greensburg, PA",3.70,0,17.00,2.62
"Greenville, NC",3.43,"1,428.33",12.50,1.04
"Greenville, SC",3.42,"1,860.00",20.00,2.00
"Greenville, TX",3.84,0,16.00,1.69
"Greenwich, CT",4.00,"2,675.00",17.00,1.79
"Greenwood, SC",2.25,0,13.00,0
"Gresham, OR",4.00,0,35.00,1.50
"Groton, CT",0,0,30.00,0
"Gulfport, MS",4.03,833.33,15.00,1.67
"Guntersville, AL",3.39,0,30.00,0.99
"Guymon, OK",5.79,0,0,0
"Hackensack, NJ",6.00,"1,800.00",25.00,1.75
"Hagerstown, MD",3.33,966.67,15.00,1.00
"Hailey, ID",3.50,"2,000.00",50.00,4.00
"Haines, AK",8.99,0,0,0
"Hamilton, MT",3.48,900.00,65.00,1.69
"Hampton, NH",3.59,0,35.00,2.50
"Hampton, VA",4.09,"1,200.00",17.50,2.00
"Hanover, NH",5.09,0,25.00,2.12
"Harlingen, TX",0,0,0,0
"Harrisburg, PA",4.19,"1,450.00",15.00,1.49
Harrisonburg va,0,0,0,0
"Hartford, CT",4.68,"1,900.00",17.00,1.79
"Hartsville, SC",0,0,10.00,0
"Hattiesburg, MS",5.83,"1,000.00",15.00,1.67
"Hays, KS",3.33,0,15.00,1.00
"Hayward, CA",5.12,"1,350.00",20.00,2.65
"Hazard, KY",3.06,0,13.00,1.59
"Helena, MT",3.63,"1,400.00",18.00,1.46
"Hemet, CA",4.28,"2,000.00",30.00,0
"Hempstead, NY",4.06,0,19.00,2.22
"Henderson, NV",4.61,"1,600.00",21.00,2.02
"Hermosa Beach, CA",4.54,"4,500.00",22.00,1.99
"Hernando, FL",4.39,0,0,0
"Herndon, VA",4.60,"1,850.00",20.00,2.04
"Hialeah, FL",4.57,"2,100.00",25.00,1.82
"Hickory, NC",3.42,"1,200.00",20.00,2.00
"High Point, NC",3.77,0,22.50,1.75
"Highland, CA",4.54,0,22.00,2.48
"Highlands Ranch, CO",0,0,15.00,0
"Hillsboro, OR",4.54,"1,933.33",15.00,0
"Hilo, HI",7.24,"1,500.00",16.00,2.00
"Hilton Head Island, SC",2.75,"2,133.33",18.00,1.98
"Hilton, NY",0,0,11.00,0
"Hinesville, GA",0,0,10.00,0
"Hoboken, NJ",4.32,"2,933.33",17.50,2.16
"Holland, MI",2.60,975.00,16.00,0
"Hollywood, FL",4.67,"2,200.00",25.00,1.82
"Homestead, FL",3.40,"3,500.00",0,0
"Honesdale, PA",4.33,"1,000.00",0,0
"Honolulu, HI",7.63,"2,169.47",20.00,2.50
"Hope, AR",3.59,0,16.00,1.70
"Hot Springs, AR",3.84,600.00,20.00,1.75
"Houghton, MI",0,0,30.42,1.00
"Houma, LA",4.16,"1,037.50",15.00,1.62
"Houston, MO",3.45,"2,000.00",12.00,1.77
"Houston, TX",3.64,"1,578.80",16.50,1.94
"Huntingdon, PA",3.50,0,0,0
"Huntington Beach, CA",4.60,"2,666.67",20.00,2.48
"Huntington Park, CA",4.25,0,17.50,2.48
"Huntington Woods, MI",3.50,0,15.50,1.88
"Huntington, WV",2.16,762.50,11.00,1.00
"Huntsville, AL",3.63,"1,436.25",16.00,2.14
"Hutchinson, KS",3.30,700.00,8.00,1.00
"Hyannis, MA",4.80,"1,500.00",20.00,1.50
